Rk,Player,Pos,G,MP,PER,TS,3PAr,FTr,ORBx,DRBx,TRBx,ASTx,STLx,BLKx,TOVx,USGx,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,cluster
297,Kyle Lowry,PG,52,1901,17.9,0.589,0.583,0.39899999999999997,1.7,12.0,7.0,31.0,1.8,1.1,15.0,23.1,4.1,2.8,6.9,0.17300000000000001,2.5,0.7,3.2,2.5,7
298,Timothé Luwawu-Cabarrot,SG,39,671,8.9,0.563,0.568,0.32299999999999995,3.8,10.0,7.0,5.3,1.1,0.7,12.7,15.7,0.4,0.6,1.0,0.069,-3.0,-0.2,-3.2,-0.2,2
299,Trey Lyles,PF,63,1271,12.7,0.557,0.49,0.131,6.0,24.6,15.3,7.3,1.1,1.9,9.7,13.7,1.2,1.0,2.2,0.081,-0.5,-0.7,-1.2,0.2,0
303,Ian Mahinmi,C,38,808,14.1,0.545,0.124,0.5379999999999999,10.2,19.8,14.8,8.2,1.8,4.7,14.8,15.7,0.7,0.7,1.4,0.08199999999999999,-2.7,0.0,-2.7,-0.2,5
304,Thon Maker,C,60,776,13.7,0.5820000000000001,0.332,0.57,7.8,16.7,12.2,8.0,1.6,4.2,15.7,16.1,0.7,0.8,1.5,0.096,-2.0,0.7,-1.4,0.1,0
305,Terance Mann,SG,35,271,7.1,0.47200000000000003,0.222,0.222,1.6,10.8,6.3,17.9,1.4,1.6,19.1,11.2,0.0,0.3,0.3,0.057,-4.7,1.2,-3.5,-0.1,7
306,Boban Marjanović,C,37,337,24.5,0.599,0.087,0.272,16.8,30.5,23.7,6.7,1.0,1.8,11.8,27.9,0.8,0.5,1.3,0.184,1.7,-1.7,0.0,0.2,3
307,Lauri Markkanen,PF,50,1492,14.3,0.56,0.536,0.259,4.2,19.7,11.6,7.6,1.4,1.5,11.0,21.1,1.1,1.6,2.6,0.084,0.2,-0.8,-0.5,0.5,2
309,Cody Martin,SF,48,903,10.5,0.505,0.37200000000000005,0.314,4.4,15.1,9.6,15.7,2.2,0.9,15.7,13.6,0.2,0.8,1.0,0.052000000000000005,-3.1,1.0,-2.1,0.0,1
311,Kelan Martin,SF,31,495,9.2,0.506,0.53,0.171,2.5,18.6,10.2,6.8,0.7,1.5,9.3,17.8,-0.1,0.3,0.2,0.023,-3.3,-1.0,-4.3,-0.3,6
314,Wesley Matthews,SG,62,1529,8.4,0.545,0.691,0.157,1.4,8.5,5.2,7.4,1.1,0.5,8.7,12.7,0.8,2.4,3.1,0.099,-2.5,0.8,-1.7,0.1,8
315,Patrick McCaw,SF,37,908,7.3,0.5,0.43799999999999994,0.111,2.3,7.6,5.0,11.4,2.0,0.4,14.6,9.4,0.2,1.2,1.4,0.073,-3.6,1.8,-1.8,0.0,1
316,CJ McCollum,SG,62,2229,17.4,0.5429999999999999,0.37799999999999995,0.135,1.9,9.7,5.9,19.3,1.0,1.5,8.3,26.7,3.1,0.6,3.7,0.079,2.5,-1.7,0.9,1.6,1
317,T.J. McConnell,PG,63,1188,16.2,0.541,0.040999999999999995,0.099,3.0,12.1,7.6,37.2,1.8,0.8,18.5,17.2,1.6,1.4,2.9,0.11900000000000001,0.1,0.2,0.3,0.7,4
319,Doug McDermott,PF,62,1242,14.3,0.626,0.54,0.106,2.1,11.7,6.9,8.3,0.4,0.3,7.2,19.6,2.1,0.9,3.0,0.115,1.5,-1.5,0.0,0.6,2
320,JaVale McGee,C,61,1023,20.0,0.655,0.021,0.265,12.1,25.2,18.8,4.7,1.4,7.9,12.9,15.0,2.2,2.3,4.5,0.21100000000000002,-0.3,2.3,2.1,1.1,3
321,Rodney McGruder,SG,50,749,6.5,0.47200000000000003,0.506,0.179,3.7,13.7,8.8,5.1,1.4,0.9,11.1,10.5,-0.1,1.0,0.8,0.054000000000000006,-3.8,0.8,-3.0,-0.2,2
322,Alfonzo McKinnie,SF,40,593,8.7,0.493,0.38,0.18100000000000002,6.9,14.4,10.6,3.3,1.9,1.2,12.3,15.2,-0.2,0.3,0.2,0.013999999999999999,-4.4,-0.9,-5.3,-0.5,2
323,Jordan McLaughlin,PG,30,590,16.3,0.5870000000000001,0.42700000000000005,0.21899999999999997,1.2,7.8,4.4,31.0,2.7,0.6,13.7,15.8,1.2,0.4,1.6,0.13,0.4,-0.1,0.3,0.3,4
324,Ben McLemore,SG,63,1437,11.7,0.622,0.83,0.132,1.5,8.7,5.1,5.3,1.2,0.7,8.5,15.6,2.1,0.9,3.0,0.1,0.0,-0.7,-0.7,0.5,2
325,Jordan McRae,SG,37,784,14.2,0.515,0.344,0.298,2.4,15.4,8.7,17.7,1.3,1.8,9.4,24.4,0.4,0.3,0.7,0.043,0.0,-1.6,-1.5,0.1,1
326,Nicolò Melli,C,52,889,12.3,0.583,0.647,0.21600000000000003,4.4,14.3,9.3,10.2,1.6,1.8,12.1,15.9,1.0,0.8,1.8,0.095,-0.9,0.3,-0.6,0.3,2
