Rk,Player,Pos,Tm,G,MP,PER,TS,3PAr,FTr,ORBx,DRBx,TRBx,ASTx,STLx,BLKx,TOVx,USGx,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
335,Shake Milton,SG,PHI,32,611,15.2,0.633,0.488,0.235,2,10.3,6.1,17.4,1.5,0.8,13.7,19.6,1.1,0.6,1.7,0.134,0.3,-0.6,-0.3,0.3
336,Donovan Mitchell,SG,UTA,63,2165,19.1,0.56,0.347,0.235,2.3,11.2,7,21.2,1.5,0.5,10.9,31,3,2.2,5.2,0.115,2.4,-0.5,1.9,2.1
339,Malik Monk,SG,CHO,55,1169,12.7,0.53,0.418,0.205,2.4,12.6,7.3,16.6,1.1,1.3,12.6,22.9,0.1,0.6,0.7,0.028,-1,-1.3,-2.3,-0.1
341,E'Twaun Moore,SG,NOP,51,958,11.1,0.509,0.39,0.105,3.2,10.4,6.8,10.9,1.4,0.9,8.1,19.9,0.2,0.6,0.8,0.042,-2,-1,-2.9,-0.2
342,Ja Morant,PG,MEM,59,1771,18,0.568,0.174,0.331,2.7,9.5,6.2,34.6,1.4,0.7,17.2,26,2.2,1.2,3.4,0.093,1.6,-1.3,0.4,1.1
344,Marcus Morris,SF-PF,TOT,55,1727,14.8,0.567,0.432,0.279,3.3,14.2,8.6,6.9,1.2,1.4,9.5,22.8,2,1.2,3.2,0.088,0.9,-0.8,0.1,0.9
345,Markieff Morris,PF,TOT,52,1106,12.4,0.568,0.494,0.195,3.4,17,10.2,10.4,1.2,1.2,14,21.1,0.4,0.8,1.2,0.053,-1.2,-0.9,-2.1,0
346,Monte Morris,PG,DEN,65,1402,14.9,0.537,0.298,0.128,1.6,7.3,4.4,23.3,1.9,1.1,8.1,17.2,2.2,1.2,3.4,0.117,0.2,-0.1,0.1,0.8
348,Emmanuel Mudiay,PG,UTA,48,752,13.7,0.55,0.263,0.239,2.6,13.7,8.4,21.8,1.2,1.1,16.9,22.4,0.3,0.8,1.1,0.071,-1.2,0.1,-1.1,0.2
350,Dejounte Murray,PG,SAS,58,1447,17.1,0.535,0.168,0.175,5,20,12.5,23.7,3.3,1,15.7,20.6,0.9,1.7,2.6,0.087,-0.5,1.5,1,1.1
351,Jamal Murray,PG,DEN,55,1804,17.5,0.559,0.359,0.209,2.6,10.8,6.7,22.7,1.8,0.8,11.8,25.2,2.5,1.6,4.2,0.111,1.8,-0.7,1.1,1.4
352,Džanan Musa,SF,BRK,35,404,8.4,0.467,0.468,0.317,5,12.9,9,11,1.5,0.2,15.5,19.4,-0.4,0.4,0,0.006,-4.1,-0.7,-4.8,-0.3
353,Mike Muscala,C,OKC,41,492,12.2,0.56,0.755,0.138,3,17.7,10.6,9.8,0.8,1.9,7.7,16.4,0.5,0.5,1,0.102,-0.1,-0.1,-0.2,0.2
354,Sviatoslav Mykhailiuk,SF,DET,56,1265,11.2,0.578,0.704,0.173,1.5,7.9,4.7,12.3,1.6,0.3,12.3,17.1,1,0.6,1.6,0.06,-0.7,-1.2,-1.8,0
355,Abdel Nader,SF,OKC,48,756,11.2,0.58,0.477,0.282,2.1,10.8,6.6,6.6,1.3,2.3,12.7,16.5,0.4,0.7,1.1,0.072,-1.1,0.2,-0.8,0.2
